Date,LTP,High,Low,Open,Qty,Turnover
2025/12/10,351.70,351.70,319.80,319.80,300,102647.00
2025/12/11,386.80,386.80,358.70,358.70,320,122242.00
2025/12/14,425.40,425.40,379.50,379.50,500,210646.00
2025/12/15,467.90,467.90,433.90,433.90,460,214398.00
2025/12/16,514.60,514.60,461.80,461.80,560,286427.00
2025/12/17,566.00,566.00,524.80,524.80,640,360815.00
2025/12/18,622.60,622.60,577.20,577.20,1070,664611.00
2025/12/21,684.80,684.80,635.00,635.00,1840,1258313.00
2025/12/22,753.20,753.20,676.70,676.70,64350,48465144.00
2025/12/23,806.00,816.00,766.00,768.20,391371,309817308.50
2025/12/24,815.00,840.00,791.10,806.00,179261,144935383.20
2025/12/28,800.00,805.00,781.70,798.70,238510,189260777.90
2025/12/29,880.00,880.00,800.00,800.00,271908,230241936.90
2025/12/31,968.00,968.00,870.00,870.00,96982,92354539.90
2026/01/01,1056.00,1064.80,973.00,987.00,226280,234111465.50
2026/01/04,1121.00,1144.00,995.00,1034.90,290504,306585076.90
2026/01/05,1233.10,1233.10,1098.60,1098.60,146092,175140756.10
2026/01/06,1300.00,1356.40,1255.00,1257.70,188305,248836986.70
2026/01/07,1190.10,1326.00,1190.00,1326.00,217502,269497282.70
2026/01/08,1258.00,1295.00,1169.00,1190.00,161155,200632769.50
2026/01/12,1383.80,1383.80,1209.00,1232.90,318411,422248843.70
2026/01/13,1410.10,1502.00,1377.90,1411.40,242010,348154526.10
2026/01/14,1385.00,1439.90,1365.00,1410.10,157437,220185276.10
2026/01/18,1480.00,1500.00,1370.00,1385.00,258416,373962149.60
2026/01/20,1560.00,1588.00,1509.50,1509.50,172385,268728600.70
2026/01/21,1555.00,1588.00,1525.00,1565.00,151540,235428594.70
2026/01/22,1710.50,1710.50,1540.00,1550.00,202436,329578570.70
2026/01/25,1881.50,1881.50,1744.70,1744.70,128089,237396362.70
2026/01/26,2069.60,2069.60,1881.50,1919.10,251200,501708813.60
2026/01/27,2015.00,2255.90,1881.00,2110.00,274221,576838791.90
2026/01/28,2132.00,2159.90,2022.70,2055.30,237756,498804873.30
2026/01/29,1940.00,2210.00,1940.00,2174.60,254144,522954989.00
2026/02/01,1846.10,2010.00,1822.10,1920.00,284858,536486965.50
2026/02/02,2030.70,2030.70,1855.00,1855.00,194676,385003033.70
2026/02/03,2128.90,2233.00,2071.30,2071.30,273987,592908411.50
2026/02/04,2075.00,2171.40,2045.00,2171.40,286844,603059715.60
2026/02/05,2115.00,2150.00,2075.00,2075.00,255450,537410767.70
2026/02/08,2019.10,2155.00,2019.10,2115.00,202578,424156406.50
2026/02/09,1939.00,2050.00,1900.00,2020.00,273774,540474871.00
2026/02/10,1933.00,2014.90,1918.00,1939.00,162032,318325898.00
2026/02/11,1910.00,2011.00,1896.00,1933.00,143236,274991976.10
2026/02/12,1892.00,1974.00,1852.00,1948.00,229050,434236761.50
2026/02/16,1960.00,1979.90,1892.00,1892.00,177335,344211045.60
2026/02/17,1906.00,1980.00,1901.00,1965.00,145770,283268419.60
2026/02/22,1822.00,1938.00,1818.00,1870.00,170423,317780938.70
2026/02/23,1770.00,1887.00,1762.00,1788.00,159678,287886070.00
2026/02/24,1871.10,1875.00,1780.00,1780.00,207908,377291320.30
2026/02/25,1898.90,1950.00,1845.00,1845.00,122755,234713682.60
2026/02/26,1855.00,1916.00,1830.00,1895.00,83064,155195443.10
2026/03/01,1840.40,1860.00,1807.00,1835.00,120554,221071633.30
2026/03/03,1885.00,1895.00,1815.00,1840.40,132134,246753378.00
2026/03/09,2030.00,2040.00,1922.70,1922.70,14261,28682723.00
2026/03/10,1940.00,2060.00,1930.60,2060.00,206056,407594908.40
2026/03/11,1891.10,1978.00,1883.00,1902.00,142698,273212607.80
2026/03/12,1850.00,1917.90,1840.00,1891.10,158269,297495043.90
2026/03/15,1833.00,1887.00,1825.00,1850.00,82835,152440958.90
2026/03/16,1866.00,1897.00,1812.00,1833.00,200933,372330968.00
2026/03/17,1838.10,1889.90,1830.00,1878.00,100790,186183957.90
2026/03/19,1855.00,1912.00,1802.00,1838.00,184387,341768539.90
2026/03/22,1865.00,1897.00,1845.00,1855.00,193835,361755390.00
2026/03/23,1855.00,1870.00,1827.70,1827.70,120648,224207800.80
2026/03/24,1875.00,1920.00,1840.00,1855.00,147624,274745570.50
2026/03/25,1940.00,2031.00,1838.00,1838.00,231213,442892436.00
2026/03/26,2019.90,2065.00,1940.00,1940.00,357168,719250790.40
2026/03/29,1926.10,2020.00,1925.10,2010.00,199954,393569206.40
2026/03/30,1893.00,1960.00,1887.60,1920.00,172198,330727730.40
2026/03/31,1899.90,1916.00,1847.00,1893.00,199349,374603222.90
2026/04/01,1843.00,1899.00,1830.00,1871.00,144439,268779194.50
2026/04/02,1845.00,1880.00,1806.20,1806.20,194397,357012589.30
2026/04/05,1759.00,1830.00,1717.20,1808.10,172225,307154751.10
2026/04/06,1820.00,1845.00,1740.00,1750.00,148598,266700354.00
2026/04/07,1839.00,1893.00,1810.00,1820.00,127619,234885300.20
2026/04/08,1901.00,1903.00,1815.00,1840.00,251874,468182727.60
2026/04/09,1885.00,1960.00,1864.00,1864.00,181302,346844798.20
2026/04/10,1849.00,1922.00,1830.00,1885.00,131213,244429989.80
2026/04/13,1841.00,1860.00,1820.00,1849.00,174910,320898520.50
2026/04/15,1844.00,1865.00,1825.00,1841.00,111290,205249567.40
2026/04/16,1771.00,1835.00,1765.00,1830.00,287358,516017105.80
2026/04/17,1750.00,1775.00,1721.00,1775.00,132703,231870608.30
2026/04/20,1715.40,1770.00,1715.40,1750.00,75166,129961619.30
2026/04/21,1680.00,1730.00,1670.00,1715.40,105818,180822981.40
2026/04/22,1645.00,1700.00,1589.00,1680.00,165694,268908280.10
2026/04/23,1600.00,1700.00,1590.00,1700.00,66822,107724448.00
2026/04/24,1579.00,1600.00,1552.10,1600.00,92456,145145112.40
2026/04/27,1588.00,1655.00,1580.00,1655.00,37498,59890251.00
2026/04/28,1520.00,1620.00,1515.00,1585.00,87894,136182634.00
2026/04/29,1445.00,1520.00,1435.00,1520.00,102090,150109828.10
2026/04/30,1497.00,1544.00,1378.00,1462.00,87391,127600382.20
2026/05/04,1408.00,1550.00,1401.00,1550.00,45235,65347974.10
2026/05/05,1411.10,1478.40,1381.10,1478.40,34777,49402520.30
2026/05/06,1404.00,1447.00,1390.10,1390.10,41957,59380925.30
2026/05/07,1401.00,1439.00,1333.80,1333.80,25074,35272804.70
2026/05/08,1465.00,1489.90,1400.40,1401.00,67993,98405598.80
2026/05/11,1559.00,1570.00,1471.00,1480.00,106255,161046607.10
2026/05/12,1490.00,1589.00,1485.00,1570.00,100159,153360354.10
2026/05/13,1558.90,1565.60,1450.00,1490.00,183696,277946527.30
2026/05/14,1562.00,1586.00,1520.00,1563.00,118861,185490107.30
2026/05/15,1530.00,1620.00,1520.10,1620.00,55620,85617768.90
2026/05/18,1474.90,1540.00,1467.00,1530.00,47710,71312532.70
2026/05/19,1467.00,1500.00,1450.10,1500.00,54890,80759468.20
2026/05/20,1508.00,1525.00,1467.00,1467.00,40099,60151593.30
2026/05/21,1485.00,1533.00,1475.00,1500.00,41564,62105358.00
2026/05/22,1507.90,1520.00,1475.50,1485.00,53557,80498494.50
2026/05/25,1520.00,1535.00,1459.00,1459.00,65193,99272424.30
2026/05/26,1495.00,1539.00,1491.30,1530.00,35370,53218753.30
2026/05/27,1490.00,1510.00,1460.00,1460.00,50124,74862399.30
2026/06/01,1454.00,1499.70,1451.00,1480.00,58496,85746241.10
2026/06/02,1440.10,1469.90,1415.00,1454.00,56668,81821276.10
2026/06/03,1440.00,1468.00,1430.00,1440.10,40088,57823610.10
2026/06/04,1424.00,1454.90,1400.00,1430.00,29822,42586195.60
2026/06/05,1405.00,1434.70,1352.80,1352.80,38626,54449469.90
2026/06/08,1385.00,1429.00,1351.00,1351.00,44644,62107326.90
2026/06/09,1387.00,1403.00,1360.20,1403.00,38613,52951795.60
2026/06/10,1405.00,1418.00,1380.10,1387.00,35428,49700867.60
2026/06/11,1398.00,1428.00,1392.10,1400.00,18258,25695225.30
2026/06/12,1405.00,1433.00,1328.10,1328.10,36743,51721095.60
2026/06/15,1463.00,1500.00,1390.00,1475.00,142843,209045886.60
2026/06/16,1460.10,1510.00,1389.90,1389.90,68568,101814554.70
2026/06/17,1448.00,1500.00,1387.10,1387.10,37448,54619327.10
2026/06/18,1440.00,1470.00,1375.60,1375.60,33697,48329900.50
2026/06/19,1444.00,1465.00,1368.00,1368.00,40340,57409058.10
2026/06/22,1433.90,1455.00,1371.80,1371.80,30269,43174478.20
2026/06/23,1380.00,1425.00,1362.30,1362.30,45547,63564472.50
2026/06/24,1399.90,1399.90,1311.00,1311.00,45410,62284152.10
2026/06/25,1395.00,1410.00,1375.50,1377.00,19950,27741931.10
2026/06/26,1367.00,1412.90,1325.30,1325.30,27629,38193242.80
2026/06/29,1343.00,1380.00,1338.00,1367.00,37552,50752488.00
2026/06/30,1334.00,1358.00,1334.00,1350.00,25410,34138827.10
2026/07/01,1357.00,1389.00,1267.30,1267.30,45120,61209743.00
2026/07/02,1355.00,1397.00,1289.20,1289.20,14413,19498716.70
2026/07/03,1359.00,1375.00,1345.00,1355.00,27554,37493389.00
2026/07/06,1351.00,1383.70,1350.00,1358.00,41930,57331878.50
2026/07/07,1367.50,1374.80,1283.50,1283.50,28176,38405590.70
2026/07/08,1354.00,1368.00,1300.00,1300.00,36378,49333756.20
2026/07/09,1340.00,1371.00,1310.00,1310.00,44444,60266788.90
2026/07/10,1359.00,1364.00,1300.00,1300.00,22494,30194469.90
